iter	Passed	Remaining
0	94	94235
1	96	48255
2	98	32746
3	100	24913
4	101	20187
5	102	16988
6	103	14748
7	105	13085
8	106	11771
9	108	10696
10	109	9801
11	110	9058
12	111	8437
13	112	7923
14	114	7490
15	115	7085
16	116	6728
17	117	6403
18	118	6107
19	119	5847
20	120	5630
21	122	5426
22	124	5273
23	126	5153
24	131	5126
25	132	4979
26	134	4830
27	135	4702
28	137	4599
29	139	4499
30	141	4426
31	145	4395
32	147	4329
33	151	4314
34	153	4227
35	155	4167
36	156	4083
37	158	4002
38	159	3922
39	160	3854
40	162	3798
41	163	3740
42	166	3695
43	167	3631
44	168	3571
45	169	3513
46	170	3460
47	172	3416
48	175	3399
49	176	3350
50	177	3303
51	178	3259
52	180	3216
53	181	3173
54	182	3133
55	184	3113
56	186	3080
57	187	3052
58	189	3018
59	190	2983
60	191	2947
61	192	2914
62	194	2886
63	196	2870
64	198	2851
65	199	2825
66	200	2796
67	201	2764
68	202	2736
69	203	2708
70	204	2681
71	205	2654
72	208	2648
73	209	2627
74	211	2614
75	213	2596
76	214	2574
77	215	2551
78	216	2528
79	217	2505
80	219	2485
81	221	2476
82	222	2462
83	224	2446
84	225	2424
85	226	2411
86	227	2390
87	229	2374
88	230	2354
89	231	2338
90	233	2336
91	235	2323
92	237	2312
93	238	2298
94	239	2282
95	240	2267
96	242	2252
97	243	2237
98	245	2232
99	247	2224
100	248	2215
101	249	2198
102	251	2187
103	252	2173
104	253	2159
105	254	2146
106	255	2134
107	257	2128
108	259	2120
109	261	2112
110	262	2101
111	263	2090
112	264	2079
113	266	2067
114	267	2055
115	268	2045
116	270	2044
117	273	2042
118	274	2030
119	275	2022
120	277	2014
121	278	2005
122	279	1992
123	282	1995
124	284	1991
125	285	1982
126	287	1976
127	288	1964
128	289	1954
129	290	1946
130	292	1938
131	294	1939
132	297	1937
133	298	1927
134	299	1919
135	300	1911
136	302	1903
137	303	1895
138	304	1887
139	307	1889
140	309	1886
141	311	1879
142	312	1874
143	313	1866
144	315	1858
145	316	1850
146	321	1863
147	322	1857
148	324	1855
149	326	1851
150	328	1844
151	329	1839
152	332	1838
153	336	1847
154	337	1840
155	338	1833
156	340	1830
157	342	1823
158	343	1815
159	346	1818
160	349	1821
161	350	1814
162	353	1813
163	354	1807
164	355	1801
165	359	1808
166	361	1804
167	363	1799
168	367	1805
169	368	1800
170	370	1796
171	372	1795
172	375	1792
173	376	1787
174	377	1781
175	379	1776
176	380	1771
177	385	1778
178	387	1776
179	388	1770
180	389	1763
181	391	1758
182	392	1754
183	399	1771
184	401	1767
185	402	1762
186	404	1759
187	411	1777
188	414	1778
189	417	1778
190	419	1775
191	422	1778
192	426	1783
193	428	1781
194	431	1780
195	435	1787
196	437	1785
197	439	1780
198	441	1777
199	443	1775
200	449	1787
201	451	1785
202	454	1785
203	459	1793
204	461	1790
205	463	1786
206	466	1787
207	471	1793
208	474	1795
209	476	1792
210	478	1790
211	480	1787
212	485	1795
213	488	1794
214	490	1789
215	493	1791
216	499	1801
217	500	1796
218	502	1793
219	505	1790
220	507	1789
221	510	1787
222	511	1783
223	513	1778
224	514	1772
225	517	1773
226	520	1771
227	522	1767
228	523	1763
229	525	1757
230	526	1753
231	528	1748
232	532	1751
233	534	1751
234	537	1749
235	539	1745
236	540	1740
237	542	1736
238	545	1737
239	548	1736
240	549	1732
241	551	1726
242	553	1723
243	556	1723
244	558	1721
245	560	1717
246	561	1712
247	563	1707
248	564	1701
249	565	1697
250	571	1704
251	572	1700
252	574	1696
253	576	1692
254	578	1689
255	579	1685
256	583	1685
257	584	1682
258	586	1678
259	588	1674
260	589	1670
261	591	1665
262	593	1663
263	596	1661
264	597	1657
265	599	1655
266	601	1650
267	602	1645
268	605	1646
269	608	1644
270	609	1639
271	611	1637
272	613	1632
273	614	1627
274	615	1623
275	619	1624
276	621	1622
277	623	1618
278	625	1616
279	627	1612
280	628	1607
281	630	1605
282	632	1602
283	634	1598
284	635	1595
285	637	1591
286	638	1587
287	642	1588
288	644	1586
289	646	1582
290	647	1578
291	649	1574
292	651	1572
293	655	1573
294	657	1572
295	659	1568
296	660	1564
297	662	1561
298	664	1557
299	666	1555
300	669	1554
301	670	1550
302	673	1550
303	676	1549
304	679	1549
305	683	1550
306	685	1546
307	686	1543
308	688	1538
309	689	1534
310	691	1530
311	694	1530
312	696	1529
313	698	1526
314	700	1522
315	701	1518
316	704	1518
317	707	1516
318	709	1515
319	711	1511
320	713	1509
321	717	1510
322	719	1507
323	721	1504
324	722	1500
325	724	1497
326	725	1493
327	726	1489
328	730	1489
329	732	1488
330	734	1484
331	736	1481
332	738	1479
333	739	1475
334	741	1472
335	746	1474
336	747	1471
337	749	1467
338	750	1463
339	751	1459
340	753	1455
341	755	1453
342	759	1455
343	762	1454
344	764	1450
345	765	1446
346	769	1448
347	772	1447
348	773	1442
349	777	1443
350	779	1440
351	780	1437
352	783	1436
353	785	1434
354	787	1430
355	789	1427
356	790	1423
357	791	1420
358	794	1418
359	797	1418
360	799	1414
361	800	1410
362	802	1408
363	804	1406
364	806	1403
365	811	1406
366	813	1403
367	815	1400
368	816	1396
369	817	1392
370	820	1390
371	822	1389
372	826	1388
373	827	1385
374	830	1384
375	833	1383
376	836	1382
377	837	1378
378	839	1375
379	841	1373
380	843	1369
381	845	1367
382	847	1365
383	849	1362
384	850	1359
385	852	1356
386	853	1352
387	855	1348
388	857	1346
389	859	1344
390	861	1341
391	862	1338
392	864	1334
393	865	1331
394	867	1329
395	870	1327
396	871	1324
397	873	1320
398	874	1317
399	876	1314
400	877	1310
401	878	1307
402	881	1305
403	883	1302
404	884	1299
405	886	1296
406	887	1293
407	888	1289
408	890	1286
409	892	1284
410	895	1283
411	896	1279
412	898	1276
413	899	1273
414	901	1270
415	905	1271
416	908	1270
417	909	1266
418	911	1263
419	912	1260
420	914	1257
421	915	1254
422	919	1253
423	920	1250
424	921	1247
425	923	1243
426	924	1240
427	926	1238
428	928	1235
429	930	1232
430	931	1229
431	932	1226
432	934	1223
433	935	1219
434	936	1216
435	937	1212
436	939	1210
437	941	1208
438	943	1205
439	944	1202
440	945	1199
441	947	1195
442	948	1192
443	949	1189
444	952	1187
445	954	1185
446	955	1182
447	957	1179
448	958	1176
449	959	1172
450	960	1169
451	962	1166
452	963	1163
453	965	1161
454	967	1159
455	969	1156
456	970	1153
457	971	1149
458	972	1146
459	973	1143
460	975	1140
461	977	1138
462	979	1136
463	981	1133
464	982	1130
465	984	1127
466	985	1124
467	986	1121
468	987	1118
469	990	1116
470	992	1114
471	993	1111
472	994	1108
473	995	1105
474	997	1102
475	998	1099
476	999	1096
477	1002	1094
478	1004	1092
479	1006	1090
480	1007	1087
481	1009	1084
482	1010	1081
483	1011	1078
484	1012	1075
485	1015	1074
486	1018	1072
487	1019	1069
488	1021	1066
489	1022	1063
490	1023	1060
491	1024	1057
492	1025	1054
493	1028	1053
494	1030	1050
495	1031	1047
496	1032	1045
497	1033	1042
498	1035	1039
499	1036	1036
500	1037	1033
501	1038	1030
502	1040	1028
503	1042	1026
504	1044	1023
505	1045	1021
506	1047	1018
507	1048	1015
508	1049	1012
509	1050	1009
510	1052	1007
511	1054	1004
512	1055	1002
513	1057	999
514	1058	996
515	1059	994
516	1060	991
517	1062	988
518	1064	986
519	1066	984
520	1068	981
521	1069	979
522	1070	976
523	1071	973
524	1073	970
525	1074	968
526	1075	965
527	1080	965
528	1081	962
529	1082	960
530	1084	957
531	1085	954
532	1086	952
533	1087	949
534	1090	947
535	1091	945
536	1093	942
537	1094	940
538	1095	937
539	1097	934
540	1098	931
541	1099	929
542	1100	926
543	1103	924
544	1105	922
545	1106	919
546	1107	917
547	1109	914
548	1110	911
549	1111	909
550	1112	906
551	1114	904
552	1116	902
553	1117	899
554	1119	897
555	1120	894
556	1121	892
557	1122	889
558	1124	886
559	1125	884
560	1127	882
561	1129	880
562	1130	877
563	1132	875
564	1133	872
565	1134	870
566	1136	867
567	1137	864
568	1139	862
569	1141	860
570	1143	858
571	1144	856
572	1145	853
573	1146	851
574	1148	848
575	1149	846
576	1151	844
577	1153	841
578	1154	839
579	1156	837
580	1157	834
581	1158	832
582	1160	829
583	1161	827
584	1163	825
585	1165	823
586	1167	821
587	1168	819
588	1170	816
589	1171	814
590	1172	811
591	1174	809
592	1177	808
593	1179	806
594	1180	803
595	1182	801
596	1183	798
597	1184	796
598	1185	793
599	1187	791
600	1189	789
601	1192	788
602	1193	785
603	1195	783
604	1196	781
605	1197	778
606	1198	776
607	1201	774
608	1204	773
609	1205	770
610	1207	768
611	1208	766
612	1209	763
613	1210	761
614	1212	758
615	1214	756
616	1215	754
617	1217	752
618	1218	750
619	1219	747
620	1221	745
621	1222	742
622	1223	740
623	1225	738
624	1227	736
625	1229	734
626	1230	731
627	1231	729
628	1233	727
629	1234	725
630	1235	722
631	1236	720
632	1238	718
633	1240	716
634	1241	713
635	1243	711
636	1244	709
637	1245	706
638	1247	704
639	1248	702
640	1250	700
641	1254	699
642	1255	697
643	1257	694
644	1258	692
645	1260	690
646	1262	688
647	1264	687
648	1266	684
649	1267	682
650	1330	713
651	1331	710
652	1334	709
653	1336	707
654	1338	705
655	1342	703
656	1344	701
657	1351	702
658	1359	703
659	1361	701
660	1362	698
661	1365	697
662	1368	695
663	1369	693
664	1371	690
665	1372	688
666	1373	685
667	1374	683
668	1376	680
669	1378	679
670	1380	676
671	1381	674
672	1382	671
673	1384	669
674	1385	666
675	1386	664
676	1387	662
677	1389	659
678	1391	657
679	1393	655
680	1394	653
681	1396	651
682	1397	648
683	1398	646
684	1400	643
685	1401	641
686	1403	639
687	1405	637
688	1407	635
689	1408	632
690	1409	630
691	1410	627
692	1412	625
693	1413	623
694	1415	621
695	1417	619
696	1418	616
697	1420	614
698	1421	611
699	1422	609
700	1423	607
701	1424	604
702	1426	602
703	1428	600
704	1430	598
705	1431	596
706	1432	593
707	1433	591
708	1435	589
709	1436	586
710	1437	584
711	1439	582
712	1441	580
713	1443	578
714	1444	575
715	1445	573
716	1447	571
717	1448	568
718	1449	566
719	1450	564
720	1453	562
721	1456	560
722	1457	558
723	1458	556
724	1460	554
725	1462	551
726	1463	549
727	1467	548
728	1469	546
729	1470	544
730	1472	541
731	1473	539
732	1475	537
733	1476	535
734	1479	533
735	1481	531
736	1483	529
737	1485	527
738	1486	524
739	1487	522
740	1490	521
741	1493	519
742	1494	516
743	1496	515
744	1498	512
745	1499	510
746	1501	508
747	1504	506
748	1506	505
749	1508	502
750	1510	500
751	1511	498
752	1513	496
753	1514	494
754	1517	492
755	1519	490
756	1520	488
757	1521	485
758	1523	483
759	1525	481
760	1526	479
761	1529	477
762	1531	475
763	1532	473
764	1534	471
765	1535	469
766	1536	466
767	1538	464
768	1542	463
769	1544	461
770	1545	458
771	1546	456
772	1547	454
773	1549	452
774	1550	450
775	1551	447
776	1553	445
777	1555	443
