iter	Passed	Remaining
0	76	76170
1	77	38734
2	78	26208
3	80	19967
4	81	16208
5	82	13705
6	84	11925
7	85	10586
8	86	9546
9	87	8687
10	90	8099
11	91	7527
12	92	7030
13	93	6608
14	95	6240
15	96	5925
16	98	5673
17	99	5422
18	100	5201
19	103	5072
20	105	4899
21	106	4733
22	107	4585
23	109	4450
24	111	4331
25	112	4212
26	113	4105
27	115	4010
28	117	3941
29	119	3856
30	120	3776
31	122	3703
32	123	3632
33	125	3571
34	127	3509
35	128	3452
36	130	3393
37	132	3366
38	135	3328
39	136	3280
40	138	3233
41	140	3194
42	141	3155
43	143	3119
44	146	3118
45	148	3085
46	150	3047
47	152	3015
48	153	2981
49	155	2947
50	156	2916
51	158	2886
52	161	2878
53	162	2852
54	164	2822
55	165	2794
56	167	2769
57	169	2745
58	170	2721
59	172	2697
60	175	2697
61	176	2674
62	178	2652
63	180	2632
64	181	2612
65	183	2593
66	184	2575
67	186	2556
68	189	2552
69	190	2535
70	192	2520
71	194	2504
72	195	2488
73	197	2470
74	198	2453
75	200	2438
76	202	2422
77	204	2423
78	206	2412
79	208	2400
80	210	2388
81	212	2378
82	213	2356
83	214	2342
84	216	2327
85	218	2318
86	219	2308
87	221	2293
88	222	2279
89	223	2264
90	225	2250
91	226	2237
92	228	2224
93	229	2211
94	230	2198
95	232	2184
96	235	2188
97	236	2179
98	238	2166
99	239	2154
100	240	2143
101	242	2132
102	243	2120
103	244	2109
104	246	2098
105	248	2095
106	250	2089
107	251	2078
108	253	2068
109	254	2059
110	255	2049
111	257	2040
112	258	2030
113	260	2022
114	261	2013
115	265	2022
116	266	2012
117	268	2004
118	269	1996
119	271	1987
120	272	1980
121	273	1970
122	275	1963
123	277	1958
124	280	1962
125	281	1954
126	282	1944
127	284	1939
128	286	1934
129	288	1930
130	290	1925
131	294	1935
132	296	1930
133	297	1924
134	299	1917
135	300	1910
136	302	1906
137	304	1901
138	306	1896
139	309	1898
140	310	1893
141	311	1885
142	313	1879
143	315	1872
144	316	1867
145	318	1861
146	319	1855
147	321	1849
148	324	1851
149	326	1852
150	329	1853
151	331	1846
152	332	1840
153	334	1838
154	336	1836
155	338	1833
156	340	1830
157	343	1828
158	345	1825
159	346	1820
160	347	1812
161	349	1807
162	350	1800
163	354	1805
164	355	1800
165	357	1794
166	358	1789
167	360	1783
168	361	1778
169	363	1772
170	364	1767
171	367	1767
172	369	1765
173	371	1761
174	372	1756
175	374	1751
176	375	1747
177	377	1744
178	379	1739
179	380	1733
180	384	1739
181	386	1736
182	387	1731
183	389	1727
184	391	1725
185	393	1720
186	394	1715
187	397	1718
188	400	1716
189	401	1713
190	403	1709
191	404	1704
192	406	1699
193	409	1699
194	411	1697
195	414	1699
196	416	1696
197	417	1692
198	419	1688
199	421	1684
200	422	1679
201	424	1677
